SINAN | 2022/08/15 00:14:01.210 | Info | {"MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":0,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":3000,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/15 00:14:15.137 | Info | {"ReturnValue":{"Success":true,"Message":"New car succesfully added."},"MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":4,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":3000,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/15 00:14:24.179 | Info | {"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/15 00:14:57.150 | Info | {"MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":0,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":3000,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/15 00:16:29.376 | Info | {"MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":0,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":3000,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/15 00:16:45.837 | Info | {"ReturnValue":{"Success":true,"Message":"New car succesfully added."},"MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":6,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":3000,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/15 00:16:51.210 | Info | {"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/15 00:22:03.064 | Info | {"MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":0,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":3000,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/15 00:22:19.623 | Info | {"ReturnValue":{"Success":true,"Message":"New car succesfully added."},"MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":7,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":3000,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/15 00:22:29.188 | Info | {"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
